Cantonese (Traditional),Cantonese (Simplified),Jyutping,Yale,English 1,English 2,Tags
盼望有日會回到最初,盼望有日会回到最初,paan3 mong6 jau5 jat6 wui5 wui4 dou3 zeoi3 co1,paan mongh yáuh yaht wúih wùih dou jeui chō,I hope that one day I will go back to the beginning,,Cantonese::Songs::ToNick
難道我可以擺脫宿命重遇你多次,难道我可以摆脱宿命重遇你多次,naan4 dou6 ngo5 ho2 ji5 baai2 tyut3 suk1 ming6 zung6 jyu6 nei5 do1 ci3,nàanh douh ngóh hó yíh báai tyut sūk mingh jungh yuh néih dō chi,Could I get rid of fate and meet you again,,Cantonese::Songs::ToNick
還沒跟你相約他世再會夢已化煙,还没跟你相约他世再会梦已化烟,waan4 mut6 gan1 nei5 soeng1 joek3 taa1 sai3 zoi3 wui5 mung6 ji5 faa3 jin1,wàanh muht gān néih sēung yeuk tā sai joi wúih mungh yíh fa yīn,I haven't made an appointment with you yet. The dream of seeing you again in the next life has turned into smoke,,Cantonese::Songs::ToNick
無論要經過轉世千次百萬次,无论要经过转世千次百万次,mou4 leon6 jiu3 ging1 gwo3 zyun2 sai3 cin1 ci3 baak3 maan6 ci3,mòuh leunh yiu gīng gwo jyún sai chīn chi baak maanh chi,No matter to go through reincarnations thousands of times,,Cantonese::Songs::ToNick
跟你的虛線不變,跟你的虚线不变,gan1 nei5 dik1 heoi1 sin3 bat1 bin3,gān néih dīk hēui sin bāt bin,The same as your dotted line,,Cantonese::Songs::ToNick
緣盡了又有下次再下次下次,缘尽了又有下次再下次下次,jyun4 zeon6 liu5 jau6 jau5 haa6 ci3 zoi3 haa6 ci3 haa6 ci3,yùnh jeunh líuh yauh yáuh hah chi joi hah chi hah chi,"When the fate is over, there will be a next time and then the next time",,Cantonese::Songs::ToNick
離散聚天意有含意,离散聚天意有含意,lei4 saan3 zeoi6 tin1 ji3 jau5 ham4 ji3,lèih saan jeuih tīn yi yáuh hàmh yi,Discrete gathering God's will has a meaning,,Cantonese::Songs::ToNick
情也是真摰,情也是真摰,cing4 jaa5 si6 zan1 jit6,chìngh yáh sih jān yiht,Love is also true,,Cantonese::Songs::ToNick
有時生活就好似呢條黑暗嘅隧道噉。你唔可以成日見到隧道尾嘅光，但如果你只係繼續行 ... 你會嚟到一個更好嘅地方。,有时生活就好似呢条黑暗嘅隧道噉。你唔可以成日见到隧道尾嘅光，但如果你只系继续行 ... 你会嚟到一个更好嘅地方。,jau5 si4 sang1 wut6 zau6 hou2 ci5 ni1 tiu4 haak1 ngam3 ge3 seoi6 dou6 gam2。nei5 m4 ho2 ji5 sing4 jat6 gin3 dou2 seoi6 dou6 mei5 ge3 gwong1，daan6 jyu4 gwo2 nei5 zi2 hai6 gai3 zuk6 hang4 ... nei5 wui5 lai4 dou3 jat1 go3 gang3 hou2 ge3 dei6 fong1。,yáuh sìh sāng wuht jauh hóu chíh nī tìuh hāak ngam ge seuih douh gám。néih m̀h hó yíh sìhng yaht gin dóu seuih douh méih ge gwōng，daahn yùh gwó néih jí haih gai juhk hàhng ... néih wúih làih dou yāt go gang hóu ge deih fōng。,"Sometimes life is like this dark tunnel. You can't always see the light at the end of the tunnel, but if you just keep moving... you will come to a better place.",,Cantonese::Uncle-Iroh
當你喺你最黑暗嘅地方，你會畀希望自己，呢個就係內心嘅力量。,当你喺你最黑暗嘅地方，你会畀希望自己，呢个就系内心嘅力量。,dong1 nei5 hai2 nei5 zeoi3 haak1 ngam3 ge3 dei6 fong1，nei5 wui5 bei2 hei1 mong6 zi6 gei2，ni1 go3 zau6 hai6 noi6 sam1 ge3 lik6 loeng6。,dōng néih hái néih jeui hāak ngam ge deih fōng，néih wúih béi hēi mohng jih géi，nī go jauh haih noih sām ge lihk leuhng。,"When you're in your darkest place, you give yourself hope and that's inner strength.",,Cantonese::Uncle-Iroh
無論你喺邊度，無論你成功定唔成功，生活都會發生。,无论你喺边度，无论你成功定唔成功，生活都会发生。,mou4 leon6 nei5 hai2 bin1 dou6，mou4 leon6 nei5 sing4 gung1 ding6 m4 sing4 gung1，sang1 wut6 dou1 wui5 faat3 sang1。,mòuh leuhn néih hái bīn douh，mòuh leuhn néih sìhng gūng dihng m̀h sìhng gūng，sāng wuht dōu wúih faat sāng。,"Life happens wherever you are, whether you make it or not.",,Cantonese::Uncle-Iroh
有時解決自己問題嘅最佳方法就係幫其他人,有时解决自己问题嘅最佳方法就系帮其他人,jau5 si4 gaai2 kyut3 zi6 gei2 man6 tai4 ge3 zeoi3 gaai1 fong1 faat3 zau6 hai6 bong1 kei4 taa1 jan4,yáuh sìh gáai kyut jih géi manh tàih ge jeui gāai fōng faat jauh haih bōng kèih tā yành,Sometimes the best way to solve your own problems is to help someone else,,Cantonese::Uncle-Iroh
保護同功率被高估。我覺得你好明智噉揀幸福同愛情。,保护同功率被高估。我觉得你好明智噉拣幸福同爱情。,bou2 wu6 tung4 gung1 leot2 bei6 gou1 gu2。ngo5 gok3 dak1 nei5 hou2 ming4 zi3 gam2 gaan2 hang6 fuk1 tung4 ngoi3 cing4。,bóu wuh tùhng gūng léut beih gōu gú。ngóh gok dāk néih hóu mìhng ji gám gáan hahng fūk tùhng ngoi chìhng。,Protection and power are overrated. I think you are very wise to choose happiness and love.,,Cantonese::Uncle-Iroh
係時候你要向內望，同埋開始問自己啲大問題。你係邊個？同埋你想要啲咩!?,系时候你要向内望，同埋开始问自己啲大问题。你系边个？同埋你想要啲咩!?,hai6 si4 hau6 nei5 jiu3 hoeng3 noi6 mong6，tung4 maai4 hoi1 ci2 man6 zi6 gei2 di1 daai6 man6 tai4。nei5 hai6 bin1 go3!? tung4 maai4 nei5 soeng2 jiu3 di1 me1!?,haih sìh hauh néih yiu heung noih mohng，tùhng màaih hōi chí mahn jih géi dī daaih mahn tàih。néih haih bīn go!? tùhng màaih néih séung yiu dī mē!?,"It's time for you to look inward, and start asking yourself the big questions. Who are you!? And what do you want!?",,Cantonese::Uncle-Iroh
失敗只係重新開始嘅機會。只係今次，更加明智。,失败只系重新开始嘅机会。只系今次，更加明智。,sat1 baai6 zi2 hai6 cung4 san1 hoi1 ci2 ge3 gei1 wui6。zi2 hai6 gam1 ci3，gang3 gaa1 ming4 zi3。,sāt baaih jí haih chùhng sān hōi chí ge gēi wuih。jí haih gām chi，gang gā mìhng ji。,"Failure is only the opportunity to begin again. Only this time, more wisely.",,Cantonese::Uncle-Iroh
好時光變成好回憶，但壞時光變成好教訓。,好时光变成好回忆，但坏时光变成好教训。,hou2 si4 gwong1 bin3 sing4 hou2 wui4 jik1，daan6 waai6 si4 gwong1 bin3 sing4 hou2 gaau3 fan3。,hóu sìh gwōng bin sìhng hóu wùih yīk，daahn waaih sìh gwōng bin sìhng hóu gaau fan。,"Good times become good memories, but bad times become good lessons.",,Cantonese::Uncle-Iroh
喺最黑暗嘅時候，希望係你畀自己嘅嘢。呢個就係內心力量嘅意義。,喺最黑暗嘅时候，希望系你畀自己嘅嘢。呢个就系内心力量嘅意义。,hai2 zeoi3 haak1 ngam3 ge3 si4 hau6，hei1 mong6 hai6 nei5 bei2 zi6 gei2 ge3 je5。ni1 go3 zau6 hai6 noi6 sam1 lik6 loeng6 ge3 ji3 ji6。,hái jeui hāak ngam ge sìh hauh，hēi mohng haih néih béi jih géi ge yéh。nī go jauh haih noih sām lihk leuhng ge yi yih。,"In the darkest times, hope is something you give yourself. That is the meaning of inner strength.",,Cantonese::Uncle-Iroh
驕傲唔係恥笑嘅反面，而係恥笑嘅來源。真正嘅謙卑係恥笑嘅解藥。,骄傲唔系耻笑嘅反面，而系耻笑嘅来源。真正嘅谦卑系耻笑嘅解药。,giu1 ngou6 m4 hai6 ci2 siu3 ge3 faan2 min6，ji4 hai6 ci2 siu3 ge3 loi4 jyun4。zan1 zing3 ge3 him1 bei1 hai6 ci2 siu3 ge3 gaai2 joek6。,gīu ngouh m̀h haih chí siu ge fáan mihn，yìh haih chí siu ge lòih yùhn。jān jing ge hīm bēi haih chí siu ge gáai yeuhk。,"Pride is not the opposite of shame, but its source. True humility is the antidote to shame.",,Cantonese::Uncle-Iroh
你係咪忙到打交，睇唔到你自己嘅船已經起航？,你系咪忙到打交，睇唔到你自己嘅船已经起航？,nei5 hai6 mai6 mong4 dou3 daa2 gaau1，tai2 m4 dou2 nei5 zi6 gei2 ge3 syun4 ji5 ging1 hei2 hong4？,néih haih maih mòhng dou dá gāau，tái m̀h dóu néih jih géi ge syùhn yíh gīng héi hòhng？,Are you so busy fighting you cannot see your own ship has set sail?,,Cantonese::Uncle-Iroh
失業抗爭歌,失业抗争歌,sat1 jip6 kong3 zang1 go1,sāt yihp kong jāng gō,Unemployment protest song,,Cantonese::Songs::MyLittleAirport Cantonese::Songs::MyLittleAirport::失業抗爭歌 Cantonese::Songs::ToNick
來到世上的意義是為了抗衡,来到世上的意义是为了抗衡,loi4 dou3 sai3 soeng6 dik1 ji3 ji6 si6 wai6 liu5 kong3 hang4,lòih dou sai seungh dīk yi yih sih waih líuh kong hàngh,The meaning of coming into the world is to compete,,Cantonese::Songs::MyLittleAirport Cantonese::Songs::MyLittleAirport::失業抗爭歌 Cantonese::Songs::ToNick
為了正義必要時犯法抗爭,为了正义必要时犯法抗争,wai6 liu5 zing3 ji6 bit1 jiu3 si4 faan6 faat3 kong3 zang1,waih líuh jing yih bīt yiu sìh faanh faat kong jāng,For justice to break the law when necessary,,Cantonese::Songs::MyLittleAirport Cantonese::Songs::MyLittleAirport::失業抗爭歌 Cantonese::Songs::ToNick
這是場戰爭但勝利是不可能,这是场战争但胜利是不可能,ze2 si6 coeng4 zin3 zang1 daan6 sing3 lei6 si6 bat1 ho2 nang4,jé sih chèungh jin jāng daanh sing leih sih bāt hó nàngh,It is a war but victory is impossible,,Cantonese::Songs::MyLittleAirport Cantonese::Songs::MyLittleAirport::失業抗爭歌 Cantonese::Songs::ToNick
犯法為彰顯法制不公允,犯法为彰显法制不公允,faan6 faat3 wai6 zoeng1 hin2 faat3 zai3 bat1 gung1 wan5,faanh faat waih jēung hín faat jai bāt gūng wánh,The illegality is to highlight the unfairness of the legal system,,Cantonese::Songs::MyLittleAirport Cantonese::Songs::MyLittleAirport::失業抗爭歌 Cantonese::Songs::ToNick
全世界也在欺壓著社會低下層,全世界也在欺压著社会低下层,cyun4 sai3 gaai3 jaa5 zoi6 hei1 aat3 zoek6 se5 wui2 dai1 haa6 cang4,chyùnh sai gaai yáh joih hēi aat jeuhk séh wúi dāi hah chàngh,The whole world is also oppressing the lower classes of society,,Cantonese::Songs::MyLittleAirport Cantonese::Songs::MyLittleAirport::失業抗爭歌 Cantonese::Songs::ToNick
年過五十低技能無法翻身,年过五十低技能无法翻身,nin4 gwo3 ng5 sap6 dai1 gei6 nang4 mou4 faat3 faan1 san1,nình gwo ngh sahp dāi geih nàngh mòuh faat fāan sān,I can't turn around with low skills over 50 years old,,Cantonese::Songs::MyLittleAirport Cantonese::Songs::MyLittleAirport::失業抗爭歌 Cantonese::Songs::ToNick
大財團最終亦會炒晒你啲人,大财团最终亦会炒晒你啲人,daai6 coi4 tyun4 zeoi3 zung1 jik6 wui5 caau2 saai3 nei5 di1 jan4,daaih chòih tyùnh jeui jūng yihk wúih cháau saai néih dī yành,The big corporations will eventually fire all your people too,,Cantonese::Songs::MyLittleAirport Cantonese::Songs::MyLittleAirport::失業抗爭歌 Cantonese::Songs::ToNick
小政府唔會理你幾窮困,小政府唔会理你几穷困,siu2 zing3 fu2 m4 wui5 lei5 nei5 gei2 kung4 kwan3,síu jing fú mh wúih léih néih géi kùngh kwan,Small government doesn't care how poor you are,,Cantonese::Songs::MyLittleAirport Cantonese::Songs::MyLittleAirport::失業抗爭歌 Cantonese::Songs::ToNick
來到最後只有最後的搖滾精神,来到最后只有最后的摇滚精神,loi4 dou3 zeoi3 hau6 zi2 jau5 zeoi3 hau6 dik1 jiu4 gwan2 zing1 san4,lòih dou jeui hauh jí yáuh jeui hauh dīk yìuh gwán jīng sành,At the end there is only the last rock and roll spirit,,Cantonese::Songs::MyLittleAirport Cantonese::Songs::MyLittleAirport::失業抗爭歌 Cantonese::Songs::ToNick
我們有四五六七八九十個人,我们有四五六七八九十个人,ngo5 mun4 jau5 sei3 ng5 luk6 cat1 baat3 gau2 sap6 go3 jan4,ngóh mùnh yáuh sei ngh luhk chāt baat gáu sahp go yành,"There are four, five, six, seventy or ninety people of us",,Cantonese::Songs::MyLittleAirport Cantonese::Songs::MyLittleAirport::失業抗爭歌 Cantonese::Songs::ToNick
我哋實上街,我哋实上街,ngo5 dei6 sat6 soeng6 gaai1,ngóh deih saht seungh gāai,We must take to the streets,,Cantonese::Songs::MyLittleAirport Cantonese::Songs::MyLittleAirport::DonaldTsangPleaseDie Cantonese::Songs::ToNick
假設 Donald 今日你俾人斬咗隻手,假设 Donald 今日你俾人斩咗只手,gaa2 cit3 Donald gam1 jat6 nei5 bei2 jan4 zaam2 zo2 zek3 sau2,gá chit Donald gām yaht néih béi yành jáam jó jek sáu,Let’s say Donald today you had your hand chopped off,,Cantonese::Songs::MyLittleAirport Cantonese::Songs::MyLittleAirport::DonaldTsangPleaseDie Cantonese::Songs::ToNick
二十年後嗰個人發咗達又做埋特首,二十年后𠮶个人发咗达又做埋特首,ji6 sap6 nin4 hau6 go2 go3 jan4 faat3 zo2 daat6 jau6 zou6 maai4 dak6 sau2,yih sahp nình hauh gó go yành faat jó daaht yauh jouh màaih dahk sáu,Twenty years later that person became rich and became the Chief Executive,,Cantonese::Songs::MyLittleAirport Cantonese::Songs::MyLittleAirport::DonaldTsangPleaseDie Cantonese::Songs::ToNick
你會否因為佢嘅成就,你会否因为佢嘅成就,nei5 wui5 fau2 jan1 wai6 keoi5 ge3 sing4 zau6,néih wúih fáu yān waih kéuih ge sìngh jauh,Will you because of his achievements,,Cantonese::Songs::MyLittleAirport Cantonese::Songs::MyLittleAirport::DonaldTsangPleaseDie Cantonese::Songs::ToNick
然後叫自己不要追究？,然后叫自己不要追究？,jin4 hau6 giu3 zi6 gei2 bat1 jiu3 zeoi1 gau3？,yình hauh giu jih géi bāt yiu jēui gau,Then tell yourself not to pursue?,,Cantonese::Songs::MyLittleAirport Cantonese::Songs::MyLittleAirport::DonaldTsangPleaseDie Cantonese::Songs::ToNick
董建華雖然做嘢係渣,董建华虽然做嘢系渣,dung2 gin3 waa4 seoi1 jin4 zou6 je5 hai6 zaa1,dúng gin wàh sēui yình jouh yéh haih jā,Although Tung is a scumbag,,Cantonese::Songs::MyLittleAirport Cantonese::Songs::MyLittleAirport::DonaldTsangPleaseDie Cantonese::Songs::ToNick
但係良心都唔會好似你咁差,但系良心都唔会好似你咁差,daan6 hai6 loeng4 sam1 dou1 m4 wui5 hou2 ci5 nei5 gam3 caa1,daanh haih lèungh sām dōu mh wúih hóu chíh néih gam chā,But the conscience is not as bad as yours,,Cantonese::Songs::MyLittleAirport Cantonese::Songs::MyLittleAirport::DonaldTsangPleaseDie Cantonese::Songs::ToNick
你任內最驕人嘅成就,你任内最骄人嘅成就,nei5 jam6 noi6 zeoi3 giu1 jan4 ge3 sing4 zau6,néih yamh noih jeui gīu yành ge sìngh jauh,The most proud achievement of your tenure,,Cantonese::Songs::MyLittleAirport Cantonese::Songs::MyLittleAirport::DonaldTsangPleaseDie Cantonese::Songs::ToNick
就係強化市民對民主嘅要求,就系强化市民对民主嘅要求,zau6 hai6 koeng4 faa3 si5 man4 deoi3 man4 zyu2 ge3 jiu1 kau4,jauh haih kèungh fa síh mành deui mành jyú ge yīu kàuh,It is strengthening the citizens’ demand for democracy,,Cantonese::Songs::MyLittleAirport Cantonese::Songs::MyLittleAirport::DonaldTsangPleaseDie Cantonese::Songs::ToNick
醫生,医生,ji1 sang1,yī sāng,doctor,,Cantonese::Occupation
教師,教师,gaau3 si1,gaau sī,teacher,,
女人,女人,neoi5 jan2,néuih yán,woman,,
廁所,厕所,ci3 so2,chi só,bathroom,,
男人,男人,naam4 jan2,nàahm yán,man,,
微波爐,微波炉,mei4 bo1 lou4,mèih bō lòuh,microwave oven,,
吸塵機,吸尘机,kap1 can4 gei1,kāp chành gēi,vacuum cleaner,,
風扇,风扇,fung1 sin3,fūng sin,fan,,
爐,炉,lou4,lòuh,stove,,
電視,电视,din6 si6,dinh sih,TV,,
DVD機,DVD机,DVD gei1,DVD gēi,DVD player,,
洗衣機,洗衣机,sai2 ji1 gei1,sái yī gēi,washing machine,,
冷氣機,冷气机,laang5 hei3 gei1,láangh hei gēi,air conditioner,,
筆記型電腦,笔记型电脑,bat1 gei3 jing4 din6 nou5,bāt gei yìngh dinh nóuh,laptop,,
Wi-Fi router,Wi-Fi router,Wi-Fi router,Wi-Fi router,Wi-Fi router,,
blog,blog,blog,blog,blog,,
搜尋,搜寻,sau2 cam4,sáu chàmh,search,,
下載,下载,haa6 zoi3,hah joi,download,,
上載,上载,soeng6 zoi3,seuhng joi,upload,,
網頁,网页,mong5 jip6,móngh yihp,webpage,,
網站,网站,mong5 zaam6,móngh jaamh,website,,
社交媒體,社交媒体,se5 gaau1 mui4 tai2,séh gāau mùih tái,social media,,
電子郵件,电子邮件,din6 zi2 jau4 gin2,dinh jí yàuh gín,email,,
巴士站,巴士站,baa1 si2 zaam6,bā sí jaahm,Bus stop,,Cantonese::Transportation
機場,机场,gei1 ceong4,gēi chèongh,airport,,Cantonese::Transportation
車費,车费,ce1 fai3,chē fai,(transportation with wheels) fare,,Cantonese::Transportation
貼士,贴士,tip1 si2,tīp sí,tip,,Cantonese::Dining
侍應,侍应,si6 jing3,sih ying,Waiter,,Cantonese::Dining
中菜,中菜,zung1 coi3,jūng choi,Chinese food,,Cantonese::Dining
餐單,餐单,caan1 daan1,chāan dāan,menu,,Cantonese::Dining
帳單,帐单,zoeng3 daan1,jeung dāan,bill,,Cantonese::Dining
信用卡,信用卡,seon3 jung6 kaat1,seun yungh kāat,credit card,,Cantonese::Dining
作業,作业,zok3 jip6,jok yihp,homework,,Cantonese::School
筆記簿,笔记簿,bat1 gei3 bou2,bāt gei bóu,notebook,,Cantonese::School
同學,同学,tung4 hok6,tùhng hohk,Classmate,,Cantonese::School
大學,大学,daai6 hok6,daaih hohk,university,,Cantonese::School
背囊,背囊,bui3 nong4,bui nòngh,backpack,,Cantonese::School
鉛筆,铅笔,jyun4 bat1,yùhn bāt,Pencil,,Cantonese::School
原子筆,原子笔,jyun4 zi2 bat1,yùnh jí bāt,pen,,Cantonese::School
數學,数学,sou3 hok6,sou hohk,math,,Cantonese::School
考試,考试,haau2 si3,háau si,Exam,,Cantonese::School
護士,护士,wu6 si6,wuh sih,nurse,,Cantonese::Occupation
經理,经理,ging1 lei5,gīng léih,manager,,Cantonese::Occupation
商人,商人,soeng1 jan4,sēung yành,businessman,,Cantonese::Occupation
警察,警察,ging2 caat3,gíng chaat,police,,Cantonese::Occupation
消防員,消防员,siu1 fong4 jyun4,siū fòhng yùhn,firefighter,,Cantonese::Occupation
工程師,工程师,gung1 cing4 si1,gūng chìngh sī,engineer,,Cantonese::Occupation
公務員,公务员,gung1 mou6 jyun4,gūng mouh yùnh,civil servant,,Cantonese::Occupation
作家,作家,zok3 gaa1,jok gā,writer,,Cantonese::Occupation
家長,家长,gaa1 zeong2,gā jéong,parent,,Cantonese::Family
腳,goek3,脚,脚,Foot,,Cantonese::BodyParts
腿,腿,teoi2,téui,leg,,Cantonese::BodyParts
頭,tau4,头,头,Head,,Cantonese::BodyParts
手臂,手臂,sau2 bei3,sáu bei,arm,,Cantonese::BodyParts
手指,手指,sau2 zi2,sáu jí,finger,,Cantonese::BodyParts
身體,身体,san1 tai2,sān tái,body,,Cantonese::BodyParts
肚,tou5,肚,肚,Stomach (belly),,Cantonese::BodyParts
背脊,bui3 zek3,背脊,背脊,Back,,Cantonese::BodyParts
胸,胸,hung1,hūng,chest,,Cantonese::BodyParts
今天,今天,gam1 tin1,gām tīn,today,,Cantonese::Date&Time
昨天,昨天,zok3 tin1,jok tīn,yesterday,,Cantonese::Date&Time
日曆,日历,jat6 lik6,yaht lihk,calendar,,Cantonese::Date&Time
秒,秒,miu5,míuh,second,,Cantonese::Date&Time
小時,小时,siu2 si4,síu sìh,hour,,Cantonese::Date&Time
點,点,dim2,dím,o'clock,,Cantonese::Date&Time
書法,书法,syu1 faat3,syū faat,calligraphy,,Cantonese::Hobbies
結他,结他,git3 taa1,git tā,guitar,,Cantonese::Hobbies
鋼琴,钢琴,gong3 kam4,gong kàmh,piano,,Cantonese::Hobbies
喇叭,喇叭,laa3 baa1,la bā,trumpet,,Cantonese::Hobbies
小提琴,小提琴,siu2 tai4 kam4,síu tàih kàmh,violin,,Cantonese::Hobbies
搖滾音樂,摇滚音乐,jiu4 gwan2 jam1 ngok6,yìuh gwán yām ngohk,rock music,,Cantonese::Hobbies
相片,相片,soeng3 pin2,seung pín,photo,,Cantonese::Hobbies
棋,棋,kei2,kéi,chess,,Cantonese::Hobbies
書,书,syu1,syū,book,,Cantonese::Hobbies
吃,吃,hek3,hek,to eat,,Cantonese::Verbs
喝,喝,hot3,hot,to drink,,Cantonese::Verbs
行,行,haang4,hàangh,to walk,,Cantonese::Verbs
走,走,zau2,jáu,to walk,,Cantonese::Verbs
睡覺,睡觉,seoi6 gaau3,seuih gaau,to go to bed,,Cantonese::Verbs
理解,理解,lei5 gaai2,léih gáai,to comprehend,,Cantonese::Verbs
想,想,soeng2,séung,to imagine,,Cantonese::Verbs
拎,拎,ling1,līng,to take,,Cantonese::Verbs
拿,拿,naa4,nàh,to take,,Cantonese::Verbs
做嘢,做嘢,zou6 je5,jouh yéh,to work,,Cantonese::Verbs
工作,工作,gung1 zok3,gūng jok,Work,,Cantonese::Verbs
給,给,kap1,kāp,to,,Cantonese::Verbs
說,说,syut3,syut,to speak,,Cantonese::Verbs
看,看,hon3,hon,to see,,Cantonese::Verbs
離開,离开,lei6 hoi1,leih hōi,to leave,,Cantonese::Verbs
變為,变为,bin3 wai4,bin wàih,to become,,Cantonese::Verbs
聽,听,teng1,tēng,to hear,,Cantonese::Verbs
相信,相信,soeng1 seon3,sēung seun,to believe,,Cantonese::Verbs
取消,取消,ceoi2 siu1,chéui sīu,to cancel,,Cantonese::Verbs
死,死,sei2,séi,to die,,Cantonese::Verbs
覺得,觉得,to feel,to feel,gok3 dak1,,Cantonese::Verbs
回答,回答,wui4 daap3,wuìh daap,to answer,,Cantonese::Verbs
跳,跳,tiu3,tiu,to jump,,Cantonese::Verbs
閂,闩,saan1,sāan,to close,,Cantonese::Verbs
醒,醒,seng2,séng,to wake up,,Cantonese::Verbs
返,返,faan1,fāan,return,,Cantonese::Verbs
踢,踢,tek3,tek,to kick,,Cantonese::Verbs
學,学,hok6,hohk,to study,,Cantonese::Verbs
解決,解决,gaai2 kyut3,gáai kyut,To solve,,Cantonese::Verbs
參加,参加,caam1 gaa1,chāam gā,to participate,,Cantonese::Verbs
唱,唱,coeng3,cheung,to sing,,Cantonese::Verbs
呃,呃,aak1,āak,to lie,,Cantonese::Verbs
憎,憎,zang1,jāng,to hate,,Cantonese::Verbs
怕,怕,paa3,pa,to be afraid,,Cantonese::Verbs
肯,肯,hang2,háng,willing to,,Cantonese::Verbs
短,短,dyun2,dyún,short,,
大,大,daai6,daaih,big,,
厚,厚,hau5,háuh,thick,,
瘦,瘦,sau3,sau,thin,,
深,深,sam1,sām,deep,,
窄,窄,zaak3,jaak,narrow,,
圓,圆,jyun4,yùnh,circular,,
直,直,zik6,jihk,straight,,
少,少,siu2,síu,little,,
全部,全部,cyun4 bou6,chyùnh bouh,all,,
一些,一些,jat1 se1,yāt sē,some,,
錯,错,co3,cho,wrong,,
正確,正确,zing3 kok3,jing kok,right,,
難,难,naan4,nàanh,difficult,,
易,易,ji6,yih,easy,,
平,平,peng4,pèngh,cheap,,
年青,年青,nin4 cing1,nình chīng,young,,
冇用,冇用,mou5 jung6,móuh yungh,useless,,
壞,坏,waai6,waaih,bad,,
污糟,污糟,wu1 zou1,wū jōu,dirty,,
靜,静,zing6,jingh,quiet,,
弱,弱,joek6,yeuhk,weak,,
強壯,强壮,koeng4 zong3,kèungh jong,strong (physically),,
空,空,hung1,hūng,empty,,
不安,不安,bat1 on1,bāt ōn,anxious,,
勤奮,勤奋,kan4 fan5,kành fánh,diligent,,
幽默,幽默,jau1 mak6,yāu mahk,Humor,,
禮貌,礼貌,lai5 maau6,láih maauh,polite,,
活躍,活跃,wut6 joek3,wuht yeuk,active,,
誠實,诚实,sing4 sat6,sìngh saht,honest,,
有趣,有趣,jau5 ceoi3,yáuh cheui,funny,,
冷靜,冷静,laang5 zing6,láangh jingh,calm,,
正經,正经,zing3 ging1,jing gīng,serious,,
害羞,害羞,hoi6 sau1,hoih sāu,shy,,
善良,善良,sin6 loeng4,sinh lèungh,kind,,
有活力,有活力,jau5 wut6 lik6,yáuh wuht lihk,energetic,,
型,型,jing4,yìhng,cool,stylish; good-looking,
親切,亲切,can1 cit3,chān chit,friendly,,
聰明,聪明,cung1 ming4,chūng mìhng,Smart,,
勇敢,勇敢,jung5 gam2,yúngh gám,brave,,
內向,内向,noi6 hoeng3,noih heung,introverted,,
外向,外向,ngoi6 hoeng3,ngoih heung,extroverted,,
有想像力,有想像力,jau5 soeng2 zoeng6 lik6,yáuh séung jeungh lihk,imaginative,,
有耐性,有耐性,jau5 noi6 sing3,yáuh noih sing,patient,,
有同情心,有同情心,jau5 tung4 cing4 sam1,yáuh tùngh chìngh sām,compassionate,,
驕傲,骄傲,giu1 ou6,gīu ouh,proud,,
飽,饱,baau2,báau,Full,,
傷心,伤心,soeng1 sam1,sēung sām,sad,,
青色,青色,ceng1 sik1,chēng sīk,cyan-blue,,
啡色,啡色,fei1 sik1,fēi sīk,brown,,
冷,冷,laang5,láangh,cold,,
曬,晒,saai3,saai,Sunny,,
有風,有风,jau5 fung1,yáuh fūng,windy,,
天晴,天晴,tin1 ceng4,tīn chèngh,sunny,,
密雲,密云,mat6 wan4,maht wành,cloudy,,
得意,得意,dak1 ji3,dāk yi,cute,,
核突,核突,wat6 dat6,waht daht,ugly,,
靚,靓,leng3,leng,beautiful,,
廣東話點講. . .？,广东话点讲. . .？,gwong2 dung1 waa2 dim2 gong2 . . .？,gwóng dūng wá dím góng . . .,How do you say . . . in Cantonese,,
馬上,马上,maa5 seong6,máh seuhng,immediately,,Cantonese::Adverbs
下星期,下星期,haa6 sing1 kei4,hah sīng kèih,next week,,Cantonese::Adverbs
好快,好快,hou2 faai3,hóu faai,Very fast,,Cantonese::Adverbs
仍然,仍然,jing4 jin4,yìngh yình,still,,Cantonese::Adverbs
今朝早,今朝早,gam1 ziu1 zou2,gām jīu jóu,this morning,,Cantonese::Adverbs
今晚,今晚,gam1 maam5,gām máamh,tonight,,Cantonese::Adverbs
噚日,㖊日,kam4 jat6,kàmh yaht,yesterday,,Cantonese::Adverbs
仲未,仲未,zung6 mei6,jungh meih,yet,,Cantonese::Adverbs
遲啲,迟啲,ci4 di1,chìh dī,later,,Cantonese::Adverbs
近排,近排,gan6 paai4,gahn pàaih,recently,,Cantonese::Adverbs
本來,本来,bun2 loi4,bún lòih,originally,,Cantonese::Adverbs
曾經,曾经,cang4 ging1,chàngh gīng,once upon a time,,Cantonese::Adverbs
初初,初初,co1 co1,chō chō,in the beginning,,Cantonese::Adverbs
嗰陣時,𠮶阵时,go2 zan6 si6,gó janh sih,at that time,,Cantonese::Adverbs
前嗰排,前𠮶排,cin4 go2 paai2,chình gó páai,a while ago,,Cantonese::Adverbs
暫時,暂时,zaam6 si4,jaamh sìh,temporarily,,Cantonese::Adverbs
到時,到时,dou3 si4,dou sìh,then,,Cantonese::Adverbs
上星期,上星期,soeng6 sing1 kei4,seungh sīng kèih,last week,,Cantonese::Adverbs
