English,Arabic,Bengali,Chinese (Traditional),Farsi,French,German,Pashto,Portuguese,Spanish,Swahili,Turkish,Ukrainian,Urdu,Part of Speech,Example sentence,Grammar explanation,
Pugnacious,عدواني,ঝগড়াটে,好鬥,جنگجو,pugnace,streitlustig,جنګی,pugnaz,pugnaz,mpiganaji,kavgacı,войовничий,جھگڑالو,adjective,A pugnacious attitude emerged.,Quick to fight.,
Pull someone’s leg,يمزح مع شخص,মজা করা,開玩笑,سر به سر گذاشتن,se moquer gentiment,jemanden auf den Arm nehmen,ټوکې کول,fazer brincadeira,tomar el pelo,kumchezea mtu,dalga geçmek,жартувати,مذاق کرنا,idiom,"Relax, I’m just pulling your leg.",To joke or tease someone playfully.,
Pull yourself together,يهدأ,নিজেকে সামলানো,振作起來,خودت را جمع کن,se ressaisir,sich zusammenreißen,ځان قابو کول,se recompor,controlarse,kujituliza,kendine gelmek,взяти себе в руки,خود کو سنبھالنا,idiom,Take a deep breath and pull yourself together.,To calm down and regain control of emotions.,
Push notification,إشعار فوري,পুশ নোটিফিকেশন,推播通知,اعلان فوری,notification push,Push-Benachrichtigung,فوري خبرتیا,notificação push,notificación push,arifa ya papo hapo,anlık bildirim,пуш-сповіщення,پش نوٹیفکیشن,noun,I disabled push notifications from shopping apps.,An alert sent automatically from an app to a device.,
Put all your eggs in one basket,يخاطر بكل شيء,সব আশা এক জায়গায় রাখা,孤注一擲,همه چیز را روی یک گزینه گذاشتن,mettre tous ses œufs dans le même panier,alles auf eine Karte setzen,ټول هيلې په يوه ځای ايښودل,colocar tudo em uma opção,poner todo en una sola opción,kuweka kila kitu sehemu moja,tüm yumurtaları aynı sepete koymak,ризикувати всім одразу,سب کچھ ایک جگہ لگا دینا,idiom,It’s risky to put all your eggs in one basket financially.,To depend entirely on one plan or opportunity.,
Quantitative easing,التيسير الكمي,পরিমাণগত সহজীকরণ,量化寬鬆,تسهیل کمی,assouplissement quantitatif,quantitative Lockerung,کمي اسانول,afrouxamento quantitativo,flexibilización cuantitativa,urahisishaji wa fedha,para genişleme,кількісне пом’якшення,مالی نرمی,noun,Quantitative easing expanded money supply.,Money injection policy.,
Querulous,شكاك,অভিযোগপ্রবণ,愛抱怨,نق نقو,querelleur,nörglerisch,شکایت کوونکی,queixoso,quejumbroso,mlalamikaji,sızlanan,незадоволений,شکایت کرنے والا,adjective,A querulous tone annoyed others.,Complaining.,
Quintessential,نموذجي,আদর্শ,典型的,نمونه کامل,quintessentiel,typisch,نمونه,quintessencial,quintensencial,halisi kabisa,özlü,квінтесенційний,مثالی,adjective,She is the quintessential leader.,Representing the perfect example.,
Quixotic,مثالي بشكل غير واقعي,অবাস্তব আদর্শবাদী,不切實際而理想化的,خیال‌پردازانه,utopique,schwärmerisch,خیالي,quixotesco,quijotesco,isiyowezekana romantik,gerçekçi olmayan idealist,донкіхотський,غیر حقیقت پسندانہ آئیڈیل پسند,adjective,His quixotic attempt to eliminate traffic overnight failed quickly.,Exceedingly idealistic or unrealistic in a hopeful way.,
Rancorous,حاقد,বিদ্বেষপূর্ণ,怨恨,کینه‌ای,rancunier,nachtragend,کینه لرونکی,rancoroso,rencoroso,mwenye chuki,nankör,злобний,کینہ پرور,adjective,Rancorous remarks followed.,Bitter resentment.,
Ravenous,جائع بشدة,অত্যন্ত ক্ষুধার্ত,飢餓的,گرسنه,ravissant,hungrig,ډېر وږی,voraz,voraz,njaa kali,açgözlü,жадібний,بہت بھوکا,adjective,They were ravenous after hiking.,Extremely hungry.,
Read receipt,إشعار القراءة,রিড রিসিপ্ট,已讀回條,تأیید خواندن,accusé de lecture,Lesebestätigung,د لوست تاييد,confirmação de leitura,confirmación de lectura,uthibitisho wa kusoma,okundu bilgisi,підтвердження прочитання,ریڈ رسید,noun,He turned off read receipts for more privacy.,A feature showing whether a message has been opened.,
Realpolitik,السياسة الواقعية,বাস্তব রাজনীতি,現實政治,واقع‌گرایی,politique réaliste,Realpolitik,واقع پالیسۍ,realpolitik,realpolitik,siasa ya ukweli,Realpolitik,реальна політика,حقیقی سیاست,noun,Realpolitik guided decisions.,Pragmatic power politics.,
Rebranding,إعادة العلامة,পুনঃব্র্যান্ডিং,品牌重塑,بازسازی برند,rebranding,Rebranding,بیا برانډینګ,rebranding,rebranding,kubadilisha chapa,marka yenileme,ребрендинг,برانڈنگ,noun,Rebranding improved image.,Changing brand identity.,
Rebut,يدحض,খণ্ডন করা,反駁,رد کردن,réfuter,widerlegen,ردول,refutar,refutar,kukanusha,çürütmek,спростовувати,رد کرنا,verb,They rebut the argument.,To oppose with evidence.,
Receipt,إيصال,রসিদ,收據,رسید,reçu,Quittung,رسيد,recibo,recibo,risiti,fiș,квитанція,رسید,noun,Keep the receipt in case you need to return the item.,A written record showing proof of payment.,
Receipt printer,طابعة الإيصالات,রসিদ প্রিন্টার,收據印表機,چاپگر رسید,imprimante de reçus,Belegdrucker,د رسيد چاپګر,impressora de recibos,impresora de recibos,printa ya risiti,fiş yazıcısı,принтер чеків,رسید پرنٹر,noun,The receipt printer stopped working at the register.,A machine that prints purchase receipts.,
Recession,ركود,মন্দা,衰退,رکود,récession,Rezession,رکود,recessão,recesión,mdororo,recession,рецесія,کساد بازاری,noun,The recession deepened.,Economic decline.,
Recondite,غامض,গভীর,深奧,پیچیده,recondit,versteckt,پټ,recondito,recondito,ya siri,kavranması zor,загадковий,پیچیدہ,adjective,Recondite theories confuse readers.,Hard to understand.,
Rectify,تصحيح,সংশোধন করা,糾正,اصلاح کردن,rectifier,korrigieren,سمول,rectificar,rectificar,kurekebisha,düzeltmek,виправляти,درست کرنا,verb,They rectified the error.,To correct.,
Redress,تعويض,প্রতিকার,補救,جبران,réparer,abhelfen,درست کول,reparar,remediar,kurekebisha,telafi etmek,відшкодовувати,ازالہ کرنا,verb,They sought redress.,To remedy.,
Redundancy,تكرار احتياطي,ব্যাকআপ ব্যবস্থা,備援系統,افزونگی,redondance,Redundanz,احتیاطي سيستم,redundância,redundancia,mfumo wa ziada,yedeklilik,резервування,بیک اپ نظام,noun,The aircraft uses redundancy to improve safety.,The inclusion of backup components or systems.,
Redundant,مكرر,অতিরিক্ত,冗餘,اضافی,redondant,überflüssig,بې ګټې,redundante,redundante,isiyo ya lazima,gereksiz,надлишковий,غیر ضروری,adjective,The word is redundant.,Unnecessary repetition.,
Reel,مقطع قصير,রিল ভিডিও,短影片,ریل,bobine,Reel,لنډه ويډيو,reel,reel,video fupi,reel,коротке відео,ریِل,noun,Her cooking reel received millions of views.,A short-form video shared on social media platforms.,
Refactor,إعادة هيكلة الكود,কোড পুনর্গঠন,重構程式碼,بازآرایی کد,refactoriser,refaktorieren,کوډ بیا جوړول,refatorar,refactorizar,kurekebisha msimbo,kodu yeniden düzenlemek,рефакторити,ریفیکٹر کرنا,verb,The developers decided to refactor the old codebase.,To restructure code without changing its external behavior.,
Referendum,استفتاء,গণভোট,公投,همه‌پرسی,référendum,Referendum,ریفرنډم,referendo,referéndum,kura ya maoni,Referandum,референдум,ریفرنڈم,noun,A referendum was held.,Public vote.,
Refill,إعادة تعبئة,পুনরায় ভরা,重新填充,دوباره پر کردن,remplissage,Nachfüllung,بیا ډکول,reabastecer,rellenar,kujaza tena,yeniden doldurmak,поповнювати,دوبارہ بھرنا,verb,He refilled his water bottle before leaving the gym.,To fill something again after it has been emptied.,
Refillable,قابل لإعادة التعبئة,পুনরায় ভরা যায় এমন,可重複填充的,قابل شارژ مجدد,rechargeable,nachfüllbar,بیا ډکېدونکی,recarregável,recargable,inayoweza kujazwa tekrar doldurulabilir,багаторазовий,دوبارہ بھرنے کے قابل,adjective,She carries a refillable water bottle every day.,Designed to be filled and used again.,,
Refute,يدحض,খণ্ডন করা,反駁,رد کردن,réfuter,widerlegen,رد کول,refutar,refutar,kukanusha,çürütmek,спростовувати,رد کرنا,verb,They refuted the claim.,To prove wrong.,
Regulatory framework,الإطار التنظيمي,নিয়ন্ত্রক কাঠামো,監管框架,چارچوب نظارتی,cadre réglementaire,Regulierungsrahmen,تنظیمي چوکاټ,estrutura regulatória,marco regulatorio,mfumo wa udhibiti,regülasyon çerçevesi,регуляторна система,ریگولیٹری فریم ورک,noun,The framework changed.,Set of regulations.,
Reiterate,يكرر,পুনরাবৃত্তি করা,重申,تکرار کردن,répéter,wiederholen,تکرارول,reiterar,reiterar,kusisitiza,tekrar etmek,повторювати,دہرانا,verb,He reiterated the point.,To say again.,
Relegate,ينزل,অবনমিত করা,降級,تنزل دادن,réléguer,degradieren,کښته کول,relegar,relegar,kushusha,düşürmek,понижувати,کم کرنا,verb,He was relegated to minor roles.,To demote.,
Relinquish,يتخلى,ছেড়ে দেওয়া,放棄,رها کردن,abandonner,aufgeben,پریښودل,renunciar,renunciar,kutoa,bırakmak,відмовлятися,چھوڑ دینا,verb,He relinquished control.,To give up.,
Reprobate,فاسد,অসচ্চরিত্র ব্যক্তি,墮落的人,فاسد,réprouvé,lasterhaft,بدکاره,reprovado,reprobado,mtu mwovu,ahlaksız,розпусник,بدکردار,noun,The novel follows the life of a charming reprobate.,A morally unprincipled or depraved person.,
Repudiate,ينكر,অস্বীকার করা,否認,رد کردن,répudier,zurückweisen,ردول,repudiar,repudiar,kukataa,reddetmek,відкидати,رد کرنا,verb,They repudiated the agreement.,To reject.,
Rescind,يلغي,বাতিল করা,撤銷,لغو کردن,révoquer,aufheben,لغوه کول,rescindir,rescindir,kufuta,iptal etmek,скасовувати,منسوخ کرنا,verb,The contract was rescinded.,To cancel formally.,
Resilient,مرن,সহনশীল,有彈性的,تاب‌آور,résilient,resilient,انعطاف منونکی,resiliente,resiliente,mwenye uwezo wa kupona,esnek,стійкий,لچکدار,adjective,Children are often resilient.,Ability to recover quickly.,
Resistor,مقاومة كهربائية,রেজিস্টর,電阻器,مقاومت,résistance,Widerstand,برقي مقاومت,resistor,resistencia,kipinga umeme,direnç,резистор,ریزسٹر,noun,The resistor limits the electrical current in the circuit.,A component that reduces or regulates electrical flow.,
Restructuring,إعادة الهيكلة,পুনর্গঠন,重組,بازسازی,restructuration,Umstrukturierung,بیا جوړونه,reestruturação,restructuración,marekebisho,yeniden yapılandırma,реструктуризація,تنظیم نو,noun,Restructuring improved efficiency.,Organizational redesign.,
Retaliate,ينتقم,প্রতিশোধ নেওয়া,報復,انتقام گرفتن,riposter,vergeltung,بدله اخيستل,retaliar,retaliar,kulipiza,kısas yapmak,відплачувати,بدلہ لینا,verb,They retaliated quickly.,To strike back.,
Reticent,كتوم,চুপচাপ,沉默寡言,کم‌حرف,réticent,verschlossen,چوپ,reticente,reticente,mkimya,çekingen,мовчазний,خاموش,adjective,He is reticent about details.,Reserved in speech.,
Retrofitting,تحديث الأنظمة القديمة,পুরোনো ব্যবস্থা আধুনিকীকরণ,設備改裝,بازسازی فنی,rénovation technique,Nachrüstung,د زړو وسایلو نوي کول,retrofitting,readaptación,uboreshaji wa zamani,güçlendirme,модернізація,جدید کاری,noun,The retrofitting of the bridge improved earthquake resistance.,The addition of modern technology to older systems or structures.,
ROI (Return on Investment),العائد على الاستثمار,বিনিয়োগে রিটার্ন,投資回報率,بازده سرمایه,retour sur investissement,ROI,سرمایه بیرته راستنیدنه,ROI,ROI,marejesho ya uwekezaji,yatırım getirisi,рентабельність інвестицій,سرمایہ واپسی,noun,ROI was high.,Profit vs investment ratio.,
Rule of thumb,قاعدة عامة,সাধারণ নিয়ম,經驗法則,قاعده کلی,règle générale,Faustregel,عمومي قاعده,regra prática,regla general,kanuni ya kawaida,genel kural,загальне правило,عمومی اصول,noun,A good rule of thumb is to save twenty percent of your income.,A practical guideline based on experience.,
Rummage,يفتش,এলোমেলোভাবে খোঁজা,翻找,زیر و رو کردن,fouiller,durchsuchen,لټول,vasculhar,rebuscar,kupekua,karıştırmak,нишпорити,کھنگالنا,verb,She rummaged through the drawer looking for batteries.,To search through things in a hurried or disorganized way.,
Rush hour,ساعة الذروة,ব্যস্ত সময়,尖峰時段,ساعت شلوغی,heure de pointe,Hauptverkehrszeit,د ګڼې ګوڼې وخت,hora do rush,hora pico,saa ya msongamano,trafik saati,година пік,رش آور,noun,Traffic is terrible during rush hour.,The busiest travel period of the day.,
Sanctions,عقوبات,নিষেধাজ্ঞা,制裁,تحریم,sanctions,Sanktionen,بندیزونه,sanções,sanciones,vikwazo,Sanktionlar,санкції,پابندیاں,noun,Sanctions targeted economy.,Punitive restrictions.,
Sardonic,ساخر,ব্যঙ্গাত্মক,冷嘲,طعنه‌آمیز,sardonique,sarkastisch,تمسخر,sardônico,sardónico,mkejeli,alaycı,сардонічний,طنزیہ,adjective,A sardonic smile appeared.,Cynical or mocking.,
Satire,هجاء,ব্যঙ্গ,諷刺作品,طنز,satire,Satire,طنز,sátira,sátira,kejeli hiciv,сатира,طنز,noun,The film is a satire of corporate culture.,A work that uses humor or irony to criticize society or individuals.,,
Scalability,قابلية التوسع,স্কেলযোগ্যতা,可擴展性,مقیاس‌پذیری,scalabilité,Skalierbarkeit,پراختیا وړتیا,escalabilidade,escalabilidad,uwezo wa kupanuka,ölçeklenebilirlik,масштабованість,پیمانہ پذیری,noun,Scalability matters in tech.,Growth capacity.,
Screen time,وقت الشاشة,স্ক্রিন টাইম,螢幕使用時間,زمان استفاده از صفحه,temps d’écran,Bildschirmzeit,د سکرین وخت,tempo de tela,tiempo de pantalla,muda wa skrini,ekran süresi,час перед екраном,اسکرین ٹائم,noun,Parents often monitor their children’s screen time.,The amount of time spent using digital screens.,
Screenshot,لقطة شاشة,স্ক্রিনশট,螢幕截圖,اسکرین‌شات,capture d’écran,Bildschirmfoto,د سکرین عکس,captura de tela,captura de pantalla,picha ya skrini,ekran görüntüsü,знімок екрана,اسکرین شاٹ,noun,Send me a screenshot of the error message.,An image showing the contents displayed on a screen.,
Scrutinize,يدقق,খুঁটিয়ে দেখা,仔細檢查,بررسی دقیق کردن,scruter,genau prüfen,څېړل,escrutinar,escrutar,kuchunguza,dikkatle incelemek,ретельно перевіряти,باریک بینی سے دیکھنا,verb,They scrutinized the report carefully.,To examine closely.,
Secession,انفصال,বিচ্ছিন্নতা,分離,جدایی,sécession,Sekession,بېلتون,secessão,secesión,mgawanyiko,Ayrılma,сецесія,علیحدگی,noun,Secession caused conflict.,Breaking away.,
See eye to eye,يتفق تمامًا,সম্পূর্ণ একমত হওয়া,意見一致,هم‌نظر بودن,être d’accord,einer Meinung sein,يو نظر لرل,concordar,estar de acuerdo,kukubaliana,aynı fikirde olmak,бути однієї думки,متفق ہونا,idiom,They don’t always see eye to eye on politics.,To completely agree with someone.,
Semiconductor,شبه موصل,অর্ধপরিবাহী,半導體,نیمه‌رسانا,semi-conducteur,Halbleiter,نیمه هادي,semicondutor,semiconductor,nusu kondakta,yarı iletken,напівпровідник,سیمی کنڈکٹر,noun,Semiconductors are essential in modern electronics.,A material with electrical conductivity between a conductor and insulator.,
Shortcut,اختصار الطريق,সংক্ষিপ্ত পথ,捷徑,میانبر,raccourci,Abkürzung,لنډه لار,atalho,atajo,njia ya mkato,kısayol,ярлик,شارٹ کٹ,noun,Taking the shortcut saved us ten minutes.,A quicker or more direct route or method.,
Sit tight,انتظر بصبر,ধৈর্য ধরে অপেক্ষা করা,耐心等待,صبر کردن,patienter,abwarten,انتظار کول,esperar com calma,esperar pacientemente,kusubiri kwa utulivu,beklemede kalmak,чекати спокійно,صبر سے انتظار کرنا,idiom,Sit tight while I check the reservation details.,To wait patiently without taking action.,
Skeptical,متشكك,সন্দেহপ্রবণ,懷疑,شکاک,sceptique,skeptisch,شکاک,skeptico,escéptico,mwenye mashaka,şüpheci,скептичний,شکی,adjective,They were skeptical of claims.,Doubtful.,
Sleep on it,يفكر بالأمر حتى الغد,রাতভর ভেবে দেখা,考慮一晚,یک شب فکر کردن,dormir dessus,eine Nacht darüber schlafen,پرې شپه تېرول,dormir sobre isso,consultarlo con la almohada,kufikiria baadaye,üzerine uyumak,переспати з думкою,رات بھر سوچنا,idiom,Don’t rush your decision — sleep on it first.,To delay a decision until later for more thought.,
Soft power,القوة الناعمة,নরম শক্তি,軟實力,قدرت نرم,pouvoir doux,Soft Power,نرم ځواک,poder brando,poder blando,nguvu laini,yumuşak güç,м’яка сила,نرم طاقت,noun,Soft power influences nations.,Influence through culture.,
Sovereign debt,الدين السيادي,সার্বভৌম ঋণ,主權債務,بدهی دولتی,dette souveraine,Staatsverschuldung,د دولت پور,dívida soberana,deuda soberana,deni la taifa,devlet borcu,суверенний борг,قومی قرض,noun,Sovereign debt increased.,Government debt.,
Sovereignty,السيادة,সার্বভৌমত্ব,主權,حاکمیت,souveraineté,Souveränität,حاکمیت,soberania,soberanía,mamlaka ya taifa,Suverenlik,суверенітет,حاکمیت,noun,Sovereignty is essential.,Independent authority.,
Spam folder,مجلد الرسائل المزعجة,স্প্যাম ফোল্ডার,垃圾郵件資料夾,پوشه هرزنامه,dossier spam,Spam-Ordner,سپیم فولډر,pasta de spam,carpeta de spam,folda ya taka,spam klasörü,папка спаму,اسپام فولڈر,noun,Check your spam folder for the confirmation email.,A mailbox location where unwanted emails are filtered.,
Speak of the devil,جاء ذكره فظهر,নাম নিতেই হাজির,說曹操曹操到,حرفش شد پیداش شد,quand on parle du loup,wenn man vom Teufel spricht,ياد دې شو راغی,falando nele,hablando del rey de Roma,kumtaja mtu aje,lafı ağzımıza gelmişken,легкий на згадку,ذکر کیا اور آ گیا,idiom,Speak of the devil — we were just talking about you!,Used when someone appears just after being mentioned.,
Spill the beans,يفشي السر,গোপন কথা ফাঁস করা,洩漏秘密,لو دادن راز,vendre la mèche,die Bohnen verschütten,راز افشا کول,contar o segredo,revelar el secreto,kufichua siri,ağzından kaçırmak,видати секрет,راز فاش کرنا,idiom,Who spilled the beans about the surprise party?,To reveal secret information accidentally or intentionally.,
Spurious,زائف,মিথ্যা,虛假的,جعلی,spurieux,unecht,جعلي,falso,falso,ya uwongo,sahte,підробний,جھوٹا,adjective,Spurious claims were rejected.,Fake or false.,
Stakeholder,أصحاب المصلحة,স্টেকহোল্ডার,利益相關者,ذی‌نفع,partie prenante,Stakeholder,ګټه اخیستونکی,sócio,parte interesada,wadau,paydaş,зацікавлена сторона,فریق,noun,Stakeholders approved plan.,Interested party.,
Staple,أساسي,প্রধান খাদ্য,主食,غذای اصلی,aliment de base,Grundnahrungsmittel,اصلي خوراک,alimento básico,alimento básico,chakula kikuu,temel gıda,основний продукт,بنیادی غذا,noun,Rice is a staple in many households around the world.,A basic and regularly consumed food or product.,
Statecraft,فن الحكم,রাষ্ট্রনীতি,治國術,حکمرانی,art de gouverner,Staatskunst,د دولت چلول,arte de governar,arte de gobernar,utawala,Devlet yönetimi,державне управління,ریاستی فن,noun,Statecraft requires skill.,Art of governing.,
Stimulus package,حزمة تحفيز,উদ্দীপনা প্যাকেজ,刺激方案,بسته محرک,plan de relance,Konjunkturpaket,د هڅونې بسته,pacote de estímulo,paquete de estímulo,kifurushi cha motisha,teşvik paketi,стимулюючий пакет,پروگرام محرک,noun,The stimulus package passed.,Economic boost plan.,
Stingy,بخيل,কৃপণ,小氣的,خسیس,avare,geizig,کنجوس,mão de vaca,tacaño,mchoyo,cimri,скупий,کنجوس,adjective,He is too stingy to replace his broken phone.,Unwilling to spend money or share resources generously.,
Story,قصة مؤقتة,স্টোরি পোস্ট,限時動態,استوری,story,Story,لنډه کيسه,story,historia,hadithi ya muda,story,історія,اسٹوری,noun,She uploaded vacation photos to her story.,A temporary social media post that disappears after a limited time.,
Stress test,اختبار الإجهاد,স্ট্রেস টেস্ট,壓力測試,آزمون فشار,test de résistance,Belastungstest,د فشار ازموینه,teste de estresse,prueba de esfuerzo,jaribio la msongo,stres testi,стрес-тест,اسٹریس ٹیسٹ,noun,The bridge passed the structural stress test successfully.,An evaluation measuring performance under extreme conditions.,
Subsidy,دعم مالي,ভর্তুকি,補貼,یارانه,subvention,Subvention,سبسایډي,subsídio,subsidio,ruzuku,sübvansiyon,субсидія,سبسڈی,noun,The subsidy reduced costs.,Government aid.,
Substantiate,يثبت,প্রমাণ করা,證實,اثبات کردن,étayer,belegen,ثابتول,comprovar,sustentar,kuthibitisha,desteklemek,обґрунтовувати,ثابت کرنا,verb,He failed to substantiate his claim.,To support with evidence.,
Supercilious,متعجرف,অহংকারী,傲慢的,متکبر,hautain,überheblich,مغرور,supercilioso,altanero,mwenye majivuno,kibirli,зарозумілий,متکبر,adjective,The reviewer’s supercilious tone irritated many readers.,Behaving as though one is superior to others; arrogantly proud.,
Supply chain,سلسلة التوريد,সরবরাহ শৃঙ্খল,供應鏈,زنجیره تأمین,chaîne d'approvisionnement,Lieferkette,د عرضې سلسله,cadeia de suprimentos,cadena de suministro,mlolongo wa usambazaji,tedarik zinciri,ланцюг постачання,سپلائی چین,noun,Supply chain improved.,Product flow system.,
Surfeit,إفراط,অতিরিক্ততা,過量,افراط,surabondance,Übermaß,زیادتی,surfeito,surfecho,ziada aşırı,надлишок,زیادتی,noun,A surfeit of food caused discomfort.,Excess amount.,,
Surreptitious,سريّ,গোপন,偷偷的,پنهانی,surretptice,heimlich,پټ,oculto,clandestino,ya siri,gizli,таємний,خفیہ,adjective,They exchanged surreptitious glances.,Kept secret or done secretly.,
Swipe,السحب بالإصبع,সোয়াইপ করা,滑動,کشیدن انگشت,balayage,wischen,ګوته راکاږل,deslizar,deslizar,telezesha,kaydırmak,провести пальцем,سوائپ کرنا,verb,Swipe left to delete the message.,To move a finger across a touchscreen in a specific direction.,
Synergy,تآزر,সমন্বয়,協同作用,هم‌افزایی,synergie,Synergie,همغږي,sinergia,sinergia,ushirikiano,Sinerji,синергія,ہم آہنگی,noun,Synergy increased value.,Combined effect.,
Syntax,بنية الجملة البرمجية,সিনট্যাক্স,語法,نحو syntaxe,Syntax,د کوډ جوړښت,sintaxe,sintaxis,sintaksia,sözdizimi,синтаксис,سنٹیکس,noun,A missing bracket caused a syntax error.,The structural rules governing code or language format.,,
Tacit,ضمني,নীরব,默示,ضمنی,tacite,stillschweigend,خاموش,tácito,tácito,bila kusema,dolaylı,мовчазний,خاموش,adjective,Tacit approval was given.,Implied without words.,
Taciturn,كتوم,চুপচাপ,沉默寡言,کم‌حرف,taciturne,wortkarg,خاموش,taciturno,taciturno,mkimya,az konuşan,мовчазний,خاموش,adjective,A taciturn man sat quietly.,Reserved in speech.,
Take it with a grain of salt,يشكك قليلًا,সন্দেহ নিয়ে শোনা,半信半疑,با تردید پذیرفتن,prendre avec précaution,mit Vorsicht genießen,په شک منل,encarar com cautela,tomarlo con cautela,kuchukua kwa tahadhari,şüpheyle yaklaşmak,сприймати скептично,احتیاط سے ماننا,idiom,Take his travel stories with a grain of salt.,To not completely believe something.,
Take your time,خذ وقتك,সময় নিয়ে করো,慢慢來,عجله نکن,prendre son temps,sich Zeit lassen,خپل وخت واخله,sem pressa,tómate tu tiempo,chukua muda wako,acele etme,не поспішай,آرام سے کرو,idiom,Take your time choosing a new apartment.,To do something without hurrying.,
Tangible,ملموس,স্পষ্ট ও বাস্তব,有形的,ملموس,tangible,greifbar,لمس کېدونکی,tangível,tangible,inayoonekana,somut,відчутний,واضح,adjective,The charity’s efforts produced tangible improvements in the community.,"Real, concrete, and capable of being clearly perceived.",
Tariff,تعريفة,শুল্ক,關稅,تعرفه,tarif,Zoll,تعرفه,tarifa,arancel,ushuru,gümrük vergisi,тариф,ٹیرف,noun,Tariffs increased prices.,Import tax.,
Temerity,تهور,দুঃসাহস,魯莽大膽,بی‌پروایی,témérité,Dreistigkeit,بې پروايي,temeridade,temeridad,uthubutu wa kipumbavu,cüret,зухвалість,بیباکی,noun,She had the temerity to challenge the CEO during the meeting.,Excessive confidence or boldness that may seem reckless.,
Tenacious,مثابر,অধ্যবসায়ী,堅韌,نصب‌العین,tenace,hartnäckig,کلک,tenaz,tenaz,mwenye msimamo,inatçı,наполегливий,ضد,adjective,Tenacious effort succeeded.,Persistent.,
Tenuous,ضعيف,দুর্বল,薄弱,ضعیف,tenu,fadenscheinig,کمزور,tenue,tenue,nyepesi,zayıf,тендітний,کمزور,adjective,A tenuous link was found.,Weak or thin.,
The ball is in your court,القرار بيدك,এখন সিদ্ধান্ত তোমার,決定權在你手上,تصمیم با توست,la balle est dans ton camp,du bist am Zug,اوس ستا وار دی,a decisão é sua,la decisión es tuya,uamuzi ni wako,sıra sende,хід за тобою,اب فیصلہ آپ کے ہاتھ میں ہے,idiom,I’ve given you all the information — now the ball is in your court.,It is someone else’s turn to make a decision or take action.,
The early bird catches the worm,من جد وجد,সকালে ওঠা লাভজনক,早起的鳥兒有蟲吃,سحرخیز باش تا کامروا شوی,l’avenir appartient à ceux qui se lèvent tôt,der frühe Vogel fängt den Wurm,وختي پاڅېدونکی ګټه کوي,Deus ajuda quem cedo madruga,al que madruga Dios le ayuda,anayeamka mapema hupata mafanikio,erken kalkan yol alır,хто рано встає тому щастить,جلدی اٹھنے والا کامیاب ہوتا ہے,idiom,My grandfather always says the early bird catches the worm.,People who act early gain advantages.,
Thread,سلسلة رسائل,বার্তার থ্রেড,討論串,رشته پیام,fil de discussion,Thread,د پيغامونو لړۍ,tópico,hilo,mfululizo wa ujumbe,ileti dizisi,ланцюжок повідомлень,میسج تھریڈ,noun,The email thread became difficult to follow.,A series of connected messages or posts on the same topic.,
Thread-safe,آمن للخيوط البرمجية,থ্রেড-সেফ,執行緒安全,ایمن برای رشته,thread-safe,threadsicher,د څو پروسو خوندي,thread-safe,seguro para hilos,salama kwa nyuzi,iş parçacığı güvenli,потокобезпечний,تھریڈ سیف,adjective,The library is thread-safe for concurrent operations.,Designed to function correctly during simultaneous execution processes.,
Thrift,التوفير,মিতব্যয়িতা,節儉,صرفه‌جویی,économie,Sparsamkeit,سپما,economia ahorro,uwekaji akiba,tutumluluk,ощадливість,کفایت شعاری,noun,His thrift allowed him to retire early.,The careful management and saving of money.,,
Through thick and thin,في السراء والضراء,সুখে-দুঃখে,同甘共苦,در سختی و آسانی,dans les bons et mauvais moments,durch dick und dünn,په هر حالت کې,nos bons e maus momentos,en las buenas y malas,katika hali zote,iyi günde kötü günde,у будь-які часи,ہر حال میں,idiom,They remained friends through thick and thin.,During both good and difficult times.,
Throw in the towel,يستسلم,হাল ছেড়ে দেওয়া,認輸,تسلیم شدن,jeter l’éponge,das Handtuch werfen,تسليمېدل,jogar a toalha,tirar la toalla,kukata tamaa,havlu atmak,здатися,ہار مان لینا,idiom,"After months of problems, the company finally threw in the towel.",To give up or admit defeat.,
Thumbnail,صورة مصغرة,থাম্বনেইল,縮圖,تصویر بندانگشتی,vignette,Miniaturbild,کوچنی انځور,miniatura,miniatura,picha ndogo,küçük resim,мініатюра,تھمب نیل,noun,The video thumbnail attracted many viewers.,A small preview image representing larger digital content.,
Tolerance,هامش سماح,সহনসীমা,公差,تلورانس,tolérance,Toleranz,د زغم حد,tolerância,tolerancia,kiwango kinachokubalika,tolerans,допуск,رواداری,noun,The machine parts were manufactured within strict tolerances.,The allowable limit of variation in dimensions or performance.,
Torque,عزم الدوران,টর্ক,扭矩,گشتاور,couple,Drehmoment,تاو ځواک,torque,torque,mzunguko tork,крутний момент,ٹارک,noun,The engine produces high torque at low speeds.,A twisting force that causes rotation.,,
Torque wrench,مفتاح عزم,টর্ক রেঞ্চ,扭力扳手,آچار گشتاور,clé dynamométrique,Drehmomentschlüssel,تورک رنچ,chave de torque,llave dinamométrica,spana ya torque,tork anahtarı,динамометричний ключ,ٹارک رنچ,noun,The mechanic tightened the bolts using a torque wrench.,A tool used to apply a precise amount of rotational force.,
